metric_date,berth_zone_code,berth_history_calls,terminal_history_calls,baseline_scope,expected_minutes,p75_minutes,p90_minutes,p95_minutes
2023-01-01,SPL_BERTH_1,0,0,insufficient_history,,,,
2023-01-01,SPL_BERTH_2,0,0,insufficient_history,,,,
2023-01-01,SPL_BERTH_3,0,0,insufficient_history,,,,
2023-01-02,SPL_BERTH_1,0,0,insufficient_history,,,,
2023-01-02,SPL_BERTH_2,0,0,insufficient_history,,,,
2023-01-02,SPL_BERTH_3,0,0,insufficient_history,,,,
2023-01-03,SPL_BERTH_1,0,0,insufficient_history,,,,
2023-01-03,SPL_BERTH_2,0,0,insufficient_history,,,,
2023-01-03,SPL_BERTH_3,0,0,insufficient_history,,,,
2023-01-04,SPL_BERTH_1,0,0,insufficient_history,,,,
2023-01-04,SPL_BERTH_2,0,0,insufficient_history,,,,
2023-01-04,SPL_BERTH_3,0,0,insufficient_history,,,,
2023-01-05,SPL_BERTH_1,1,1,insufficient_history,,,,
2023-01-05,SPL_BERTH_2,0,1,insufficient_history,,,,
2023-01-05,SPL_BERTH_3,0,1,insufficient_history,,,,
2023-01-06,SPL_BERTH_1,2,2,insufficient_history,,,,
2023-01-06,SPL_BERTH_2,0,2,insufficient_history,,,,
2023-01-06,SPL_BERTH_3,0,2,insufficient_history,,,,
2023-01-07,SPL_BERTH_1,2,3,insufficient_history,,,,
2023-01-07,SPL_BERTH_2,0,3,insufficient_history,,,,
2023-01-07,SPL_BERTH_3,1,3,insufficient_history,,,,
2023-01-08,SPL_BERTH_1,3,4,insufficient_history,,,,
2023-01-08,SPL_BERTH_2,0,4,insufficient_history,,,,
2023-01-08,SPL_BERTH_3,1,4,insufficient_history,,,,
2023-01-09,SPL_BERTH_1,3,5,historical_terminal,2416.9333333333334,2664.45,2951.77,3047.543333333333
2023-01-09,SPL_BERTH_2,0,5,historical_terminal,2416.9333333333334,2664.45,2951.77,3047.543333333333
2023-01-09,SPL_BERTH_3,2,5,historical_terminal,2416.9333333333334,2664.45,2951.77,3047.543333333333
2023-01-10,SPL_BERTH_1,4,7,historical_terminal,2513.2,2625.325,2855.996666666667,2999.6566666666663
2023-01-10,SPL_BERTH_2,1,7,historical_terminal,2513.2,2625.325,2855.996666666667,2999.6566666666663
2023-01-10,SPL_BERTH_3,2,7,historical_terminal,2513.2,2625.325,2855.996666666667,2999.6566666666663
2023-01-11,SPL_BERTH_1,4,8,historical_terminal,2549.7,2662.5625,2808.1099999999997,2975.713333333333
2023-01-11,SPL_BERTH_2,1,8,historical_terminal,2549.7,2662.5625,2808.1099999999997,2975.713333333333
2023-01-11,SPL_BERTH_3,3,8,historical_terminal,2549.7,2662.5625,2808.1099999999997,2975.713333333333
2023-01-12,SPL_BERTH_1,4,8,historical_terminal,2549.7,2662.5625,2808.1099999999997,2975.713333333333
2023-01-12,SPL_BERTH_2,1,8,historical_terminal,2549.7,2662.5625,2808.1099999999997,2975.713333333333
2023-01-12,SPL_BERTH_3,3,8,historical_terminal,2549.7,2662.5625,2808.1099999999997,2975.713333333333
2023-01-13,SPL_BERTH_1,4,10,historical_terminal,2465.0666666666666,2643,2712.336666666666,2927.826666666666
2023-01-13,SPL_BERTH_2,2,10,historical_terminal,2465.0666666666666,2643,2712.336666666666,2927.826666666666
2023-01-13,SPL_BERTH_3,4,10,historical_terminal,2465.0666666666666,2643,2712.336666666666,2927.826666666666
2023-01-14,SPL_BERTH_1,5,11,historical_berth,1599.5,2416.9333333333334,2518.4933333333333,2552.3466666666664
2023-01-14,SPL_BERTH_2,2,11,historical_terminal,2416.9333333333334,2624.0666666666666,2664.45,2903.883333333333
2023-01-14,SPL_BERTH_3,4,11,historical_terminal,2416.9333333333334,2624.0666666666666,2664.45,2903.883333333333
2023-01-15,SPL_BERTH_1,5,12,historical_berth,1599.5,2416.9333333333334,2518.4933333333333,2552.3466666666664
2023-01-15,SPL_BERTH_2,2,12,historical_terminal,2465.0666666666666,2662.5625,2826.525,2978.985833333333
2023-01-15,SPL_BERTH_3,5,12,historical_berth,2664.45,2844.5333333333333,3023.8033333333333,3083.56
2023-01-16,SPL_BERTH_1,6,14,historical_berth,2008.2166666666667,2543.883333333333,2720.383333333333,2787.475
2023-01-16,SPL_BERTH_2,3,14,historical_terminal,2549.7,2707.6625,2851.556666666667,2955.6291666666666
2023-01-16,SPL_BERTH_3,5,14,historical_berth,2664.45,2844.5333333333333,3023.8033333333333,3083.56
2023-01-17,SPL_BERTH_1,6,14,historical_berth,2008.2166666666667,2543.883333333333,2720.383333333333,2787.475
2023-01-17,SPL_BERTH_2,3,14,historical_terminal,2549.7,2707.6625,2851.556666666667,2955.6291666666666
2023-01-17,SPL_BERTH_3,5,14,historical_berth,2664.45,2844.5333333333333,3023.8033333333333,3083.56
2023-01-18,SPL_BERTH_1,6,14,historical_berth,2008.2166666666667,2543.883333333333,2720.383333333333,2787.475
2023-01-18,SPL_BERTH_2,3,14,historical_terminal,2549.7,2707.6625,2851.556666666667,2955.6291666666666
2023-01-18,SPL_BERTH_3,5,14,historical_berth,2664.45,2844.5333333333333,3023.8033333333333,3083.56
2023-01-19,SPL_BERTH_1,7,16,historical_berth,2416.9333333333334,2720.383333333333,3149.6733333333336,3371.003333333333
2023-01-19,SPL_BERTH_2,4,16,historical_terminal,2624.0666666666666,2847.0416666666665,3367.825,3818.2208333333333
2023-01-19,SPL_BERTH_3,5,16,historical_berth,2664.45,2844.5333333333333,3023.8033333333333,3083.56
2023-01-20,SPL_BERTH_1,7,17,historical_berth,2416.9333333333334,2720.383333333333,3149.6733333333336,3371.003333333333
2023-01-20,SPL_BERTH_2,4,17,historical_terminal,2661.9333333333334,2854.5666666666666,3661.226666666667,3910.8299999999995
2023-01-20,SPL_BERTH_3,6,17,historical_berth,2754.491666666667,3068.6208333333334,3453.9416666666666,3609.2541666666666
2023-01-21,SPL_BERTH_1,7,18,historical_berth,2416.9333333333334,2720.383333333333,3149.6733333333336,3371.003333333333
2023-01-21,SPL_BERTH_2,5,18,historical_berth,2513.2,2722.0666666666666,3786.3566666666666,4141.12
2023-01-21,SPL_BERTH_3,6,18,historical_berth,2754.491666666667,3068.6208333333334,3453.9416666666666,3609.2541666666666
2023-01-22,SPL_BERTH_1,8,19,historical_berth,2487.0666666666666,2653.2916666666665,3075.8966666666665,3334.115
2023-01-22,SPL_BERTH_2,5,19,historical_berth,2513.2,2722.0666666666666,3786.3566666666666,4141.12
2023-01-22,SPL_BERTH_3,6,19,historical_berth,2754.491666666667,3068.6208333333334,3453.9416666666666,3609.2541666666666
2023-01-23,SPL_BERTH_1,8,21,historical_berth,2487.0666666666666,2653.2916666666665,3075.8966666666665,3334.115
2023-01-23,SPL_BERTH_2,6,21,historical_berth,2603.7749999999996,2715.1375,3608.975,4052.429166666667
2023-01-23,SPL_BERTH_3,7,21,historical_berth,2844.5333333333333,3082.708333333333,3391.8166666666666,3578.191666666666
2023-01-24,SPL_BERTH_1,9,23,historical_berth,2557.2,2740.133333333333,3002.12,3297.2266666666665
2023-01-24,SPL_BERTH_2,6,23,historical_berth,2603.7749999999996,2715.1375,3608.975,4052.429166666667
2023-01-24,SPL_BERTH_3,8,23,historical_berth,2754.491666666667,3052.4041666666667,3329.6916666666666,3547.129166666666
2023-01-25,SPL_BERTH_1,9,23,historical_berth,2557.2,2740.133333333333,3002.12,3297.2266666666665
2023-01-25,SPL_BERTH_2,6,23,historical_berth,2603.7749999999996,2715.1375,3608.975,4052.429166666667
2023-01-25,SPL_BERTH_3,8,23,historical_berth,2754.491666666667,3052.4041666666667,3329.6916666666666,3547.129166666666
2023-01-26,SPL_BERTH_1,10,25,historical_berth,2571.7,2825.958333333333,2940.148333333333,3266.240833333333
2023-01-26,SPL_BERTH_2,7,25,historical_berth,2694.35,3301.6416666666664,4127.083333333334,4311.483333333333
2023-01-26,SPL_BERTH_3,8,25,historical_berth,2754.491666666667,3052.4041666666667,3329.6916666666666,3547.129166666666
2023-01-27,SPL_BERTH_1,10,26,historical_berth,2571.7,2825.958333333333,2940.148333333333,3266.240833333333
2023-01-27,SPL_BERTH_2,7,26,historical_berth,2694.35,3301.6416666666664,4127.083333333334,4311.483333333333
2023-01-27,SPL_BERTH_3,9,26,historical_berth,2844.5333333333333,3143.3166666666666,3546.0866666666666,3655.3266666666664
2023-01-28,SPL_BERTH_1,10,26,historical_berth,2571.7,2825.958333333333,2940.148333333333,3266.240833333333
2023-01-28,SPL_BERTH_2,7,26,historical_berth,2694.35,3301.6416666666664,4127.083333333334,4311.483333333333
2023-01-28,SPL_BERTH_3,9,26,historical_berth,2844.5333333333333,3143.3166666666666,3546.0866666666666,3655.3266666666664
2023-01-29,SPL_BERTH_1,11,27,historical_berth,2557.2,2797.35,2867.6833333333334,3230.008333333333
2023-01-29,SPL_BERTH_2,7,27,historical_berth,2694.35,3301.6416666666664,4127.083333333334,4311.483333333333
2023-01-29,SPL_BERTH_3,9,27,historical_berth,2844.5333333333333,3143.3166666666666,3546.0866666666666,3655.3266666666664
2023-01-30,SPL_BERTH_1,11,27,historical_berth,2557.2,2797.35,2867.6833333333334,3230.008333333333
2023-01-30,SPL_BERTH_2,7,27,historical_berth,2694.35,3301.6416666666664,4127.083333333334,4311.483333333333
2023-01-30,SPL_BERTH_3,9,27,historical_berth,2844.5333333333333,3143.3166666666666,3546.0866666666666,3655.3266666666664
